7000,9647,8111
7001,9705,8410
7003,9705,8494
7006,9729,8485
7010,3490,923
7014,9839,8776
7019,1,9423
7021,10,9247
7022,15,9569
7023,29,9883
7024,25,9408
7025,25,9188
7027,39,9353
7028,61,9126
7030,106,9309
7031,106,9963
7032,118,9962
7033,156,9842
7034,176,9961
7035,4261,1358
7036,194,9264
7038,307,9740
7039,379,9969
7040,379,9783
7041,384,9695
7042,488,9726
7043,488,9784
7045,591,9614
7046,598,9670
7047,598,9725
7048,707,9726
7049,706,9560
7050,707,9669
7051,707,9588
7052,708,9968
7053,751,9617
7054,750,9669
7055,784,9357
7056,792,9374
7057,798,9308
7058,837,9734
7060,838,9968
7061,849,9286
7062,880,9570
7063,898,9333
7064,913,9407
7065,925,9667
7066,927,9503
7067,964,9737
7068,978,9968
7069,988,9644
7070,996,9431
7071,1003,9521
7072,1025,9635
7075,1120,9649
7077,1160,9560
7078,1161,9532
7079,1159,9467
7081,1180,9915
7082,1195,9169
7083,1189,9763
7084,1211,9552
7085,1213,9529
7087,1223,9713
7088,1263,9837
7089,1273,9757
7091,4199,1456
7092,1386,9941
7093,1417,9887
7094,1447,9835
7095,1488,9232
7096,1509,9971
7097,3989,1496
7098,1533,9376
7099,1535,9103
7100,1549,9925
7101,1565,9019
7102,1571,9276
7103,1610,9169
7104,1631,9405
7105,1637,9803
7106,1641,9127
7107,1665,9328
7108,1679,9292
7111,1694,9042
7112,1736,9558
7113,1760,9444
7114,4312,1592
7116,4351,1588
7122,1821,9281
7123,1831,9228
7126,1950,9036
7127,1974,9218
7130,2008,9459
7131,2011,9471
7133,2035,9617
7135,2277,9806
7136,2379,9912
7137,2414,9214
7138,2424,9257
7139,2409,9933
7140,2474,9459
7141,2479,9477
7148,2680,9707
7150,2783,9102
7151,2798,9615
7153,2818,9161
7154,2847,9235
7155,2858,9240
7156,2872,9169
7158,2877,9248
7159,2877,9552
7160,2881,9656
7161,2886,9459
7162,2886,9778
7163,2885,9397
7164,2891,9879
7167,2902,9396
7168,2925,9347
7169,2928,9178
7170,2944,9276
7171,2948,9878
7173,2949,9825
7174,2962,9775
7175,2989,9295
7176,2988,9178
7177,2987,9732
7178,2988,9457
7179,3001,9543
7180,3018,9391
7182,3033,9619
7183,3038,9320
7184,3054,9503
7185,3060,9671
7187,3089,9883
7188,3095,9177
7189,3097,9351
7190,3108,9556
7191,3105,9833
7192,3118,9792
7193,3132,9749
7194,3132,9445
7195,3136,9172
7196,3140,9171
7197,3154,9598
7198,3166,9510
7199,3165,9644
7200,3175,9611
7201,3179,9113
